09-05 13:52:02.342 I/OPENHU  (14504): [55] 1.onAvailable | NetworkMonitor: Network available: 100
09-05 13:52:02.363 I/OPENHU  (14504): [2] AapService.onStartCommand | AapService: Received manual Native-AA poke request for A0:46:5A:97:E4:95
09-05 13:52:02.365 I/OPENHU  (14504): [2] NativeAaHandshakeManager.selectDriver | NativeAA: Driver selected: A0:46:5A:97:E4:95
09-05 13:52:02.376 I/OPENHU  (14504): [54] 1.invokeSuspend | WppTcpServer: listening for Android Auto on TCP 5299
09-05 13:52:02.378 I/OPENHU  (14504): [2] NativeAaHandshakeManager.manualPoke | NativeAA: Manual poke requested for motorola edge 30 neo (A0:46:5A:97:E4:95)
09-05 13:52:02.382 I/OPENHU  (14504): [62] 1.invokeSuspend | NativeAA: WiFi credentials not ready before manual poke. Requesting WiFi refresh...
09-05 13:52:02.382 I/OPENHU  (14504): [62] WifiLauncherNative.triggerWifiDirectRefresh | AapService: WiFi Direct credential refresh requested.
09-05 13:52:02.428 I/OPENHU  (14504): [2] 1.onReceive | WifiDirectManager: WIFI_P2P_STATE_CHANGED_ACTION state=2
09-05 13:52:02.430 I/OPENHU  (14504): [2] 1.invokeSuspend | AapService: Mode requires WiFi Direct — ensuring hotspot is disabled first...
09-05 13:52:02.439 I/OPENHU  (14504): [2] HotspotManager.setHotspotEnabled | HotspotManager: Setting hotspot enabled=false (API 34, canWriteSettings=true)
09-05 13:52:02.460 I/OPENHU  (14504): [2] 1.invoke | WifiDirectManager: requestDeviceInfo success: 02:00:00:00:00:00
09-05 13:52:02.730 I/OPENHU  (14504): [2] WifiDirectManager.refreshNativeCredentials$lambda$19 | WifiDirectManager: refresh: a group was asked for 596ms ago and has not answered yet, so nothing is remade underneath it.
09-05 13:52:02.731 I/OPENHU  (14504): [2] WifiDirectManager.refreshNativeCredentials$lambda$19 | WifiDirectManager: refresh: asking again in 14904ms, once that create's grace is up.
09-05 13:52:02.967 I/OPENHU  (14504): [2] WifiDirectManager.createQuietGroup | WifiDirectManager: Attempting createGroup for Native AA (Attempt 0)...
09-05 13:52:02.968 I/OPENHU  (14504): [2] WifiDirectManager.createQuietGroup | WifiDirectManager: this unit's WiFi radio reports a 5 GHz band.
09-05 13:52:02.970 I/OPENHU  (14504): [2] WifiDirectManager.createQuietGroup | WifiDirectManager: Band preference is 5 GHz only, set by the user.
09-05 13:52:02.977 I/OPENHU  (14504): [2] WifiDirectManager.chooseNativeGroupIdentity | WifiDirectManager: group identity: asking for the kept network DIRECT-TX-Navegadortz2 again, so a phone that saved it can rejoin without being set up for a new one.
09-05 13:52:02.980 I/OPENHU  (14504): [2] WifiDirectManager.createQuietGroup | WifiDirectManager: Requesting Native AA P2P group on 5GHz band. Chosen by the user.
09-05 13:52:02.980 I/OPENHU  (14504): [2] WifiDirectManager.createQuietGroup | WifiDirectManager: 5 GHz channel is automatic, so the driver picks within the band.
09-05 13:52:03.030 I/OPENHU  (14504): [2] 1.onSuccess | WifiDirectManager: 5GHz createGroup SUCCESS!
09-05 13:52:03.144 I/OPENHU  (14504): [2] 1.onReceive | WifiDirectManager: Connected. Requesting info...
09-05 13:52:03.158 I/OPENHU  (14504): [2] WifiDirectManager.onConnectionInfoAvailable | WifiDirectManager: Group formed. Owner: true, GO IP: 192.168.49.1
09-05 13:52:03.164 I/OPENHU  (14504): [2] 1.invoke | WifiDirectManager: Updated localDeviceAddress via requestDeviceInfo: 02:00:00:00:00:00
09-05 13:52:03.174 I/OPENHU  (14504): [2] WifiDirectManager.onGroupInfoAvailable | WifiDirectManager: System Location Check: GPS=true, Network=true
09-05 13:52:03.177 I/OPENHU  (14504): [2] WifiDirectManager.logBssidSourceDump | WifiDirectManager: == BSSID source dump (iface=p2p-wlan0-40) ==
09-05 13:52:03.179 I/OPENHU  (14504): [2] WifiDirectManager.logBssidSourceDump$report | WifiDirectManager:   static override (Settings)       = 0
09-05 13:52:03.181 I/OPENHU  (14504): [2] WifiDirectManager.logBssidSourceDump$report | WifiDirectManager:   getGroupOwnerBssid()             = null
09-05 13:52:03.204 I/OPENHU  (14504): [2] WifiDirectManager.logBssidSourceDump$report | WifiDirectManager:   IPv6 link-local (p2p-wlan0-40)   = 66:d1:09:3f:78:7a
09-05 13:52:03.209 I/OPENHU  (14504): [2] WifiDirectManager.logBssidSourceDump$report | WifiDirectManager:   IPv6 link-local (any p2p/ap)     = 66:d1:09:3f:78:7a
09-05 13:52:03.223 W/OPENHU  (14504): [2] WifiDirectManager.getWifiDirectMac | WifiDirectManager: No valid MAC found in NetworkInterface scan for p2p-wlan0-40
09-05 13:52:03.223 I/OPENHU  (14504): [2] WifiDirectManager.logBssidSourceDump$report | WifiDirectManager:   NetworkInterface.hardwareAddress = 00:00:00:00:00:00
09-05 13:52:03.224 I/OPENHU  (14504): [2] WifiDirectManager.logBssidSourceDump$report | WifiDirectManager:   lastKnownBssid (null)            = null
09-05 13:52:03.225 I/OPENHU  (14504): [2] WifiDirectManager.logBssidSourceDump$report | WifiDirectManager:   requestDeviceInfo                = 02:00:00:00:00:00
09-05 13:52:03.226 I/OPENHU  (14504): [2] WifiDirectManager.logBssidSourceDump$report | WifiDirectManager:   group.owner.deviceAddress        = 02:00:00:00:00:00
09-05 13:52:03.230 I/OPENHU  (14504): [2] WifiDirectManager.getMacFromShell | WifiDirectManager: MAC retrieved via sysfs (p2p-wlan0-40): 66:d1:09:3f:78:7a
09-05 13:52:03.231 I/OPENHU  (14504): [2] WifiDirectManager.logBssidSourceDump$report | WifiDirectManager:   sysfs / ip link                  = 66:d1:09:3f:78:7a
09-05 13:52:03.237 I/OPENHU  (14504): [2] WifiDirectManager.logBssidSourceDump$report | WifiDirectManager:   Settings.Secure p2p address      = null
09-05 13:52:03.239 I/OPENHU  (14504): [2] WifiDirectManager.logBssidSourceDump$report | WifiDirectManager:   reflection over WifiP2pGroup     = null
09-05 13:52:03.239 I/OPENHU  (14504): [2] WifiDirectManager.logBssidSourceDump | WifiDirectManager: == end BSSID source dump ==
09-05 13:52:03.246 I/OPENHU  (14504): [2] WifiDirectManager.onGroupInfoAvailable | WifiDirectManager: BSSID read from the IPv6 link-local address of p2p-wlan0-40 (EUI-64): 66:D1:09:3F:78:7A
09-05 13:52:03.246 I/OPENHU  (14504): [2] WifiDirectManager.onGroupInfoAvailable | WifiDirectManager: Initial BSSID from IPv6 link-local: 66:D1:09:3F:78:7A
09-05 13:52:03.249 I/OPENHU  (14504): [2] WifiDirectManager.onGroupInfoAvailable | WifiDirectManager: onGroupInfoAvailable: SSID: DIRECT-TX-Navegadortz2, BSSID: 66:D1:09:3F:78:7A (source=IPv6 link-local), GO: true, IFACE: p2p-wlan0-40, Freq: 5785 MHz (5GHz)
09-05 13:52:03.252 I/OPENHU  (14504): [2] WifiDirectManager.onGroupInfoAvailable | WifiDirectManager: group identity ssid=DIRECT-TX-Navegadortz2 persistent=yes (netId 5) asked=persistent matchesRequest=yes bssid=66:D1:09:3F:78:7A stable=no (same name but the BSSID moved from 5E:C4:E0:3D:AC:C2 to 66:D1:09:3F:78:7A; this unit re-addresses the group on every create) source=IPv6 link-local
09-05 13:52:03.258 W/OPENHU  (14504): [2] WifiDirectManager.logStationCoexistence | WifiDirectManager: This unit is connected to another WiFi network on 5500 MHz while hosting the WiFi Direct group on 5785 MHz. One radio has to retune between the two, which can cost the projected video and audio a few hundred milliseconds at a time. Measured units have run clean in this state, so read this as context for a report rather than as something to change.
09-05 13:52:03.260 I/OPENHU  (14504): [2] WifiDirectManager.notifyNativeGroupStarted | WifiDirectManager: Native AA WiFi Direct: 5GHz (5785 MHz), 5GHz requested, SSID=DIRECT-TX-Navegadortz2
09-05 13:52:03.268 I/OPENHU  (14504): [68] WifiDirectManager.onGroupInfoAvailable$lambda$7 | WifiDirectManager: SUCCESS - Providing credentials to listener. SSID=DIRECT-TX-Navegadortz2, IP=192.168.49.1, BSSID=66:D1:09:3F:78:7A, identity stable=no
09-05 13:52:03.270 I/OPENHU  (14504): [68] WifiLauncherNative.onNativeCredentials | AapService: Received WiFi credentials from manager (SSID=DIRECT-TX-Navegadortz2, IP=192.168.49.1). Updating and Triggering Poke.
