--------- beginning of main
09-05 11:07:30.291 I/OPENHU  (20623): [2] HotspotManager.setHotspotEnabled | HotspotManager: Setting hotspot enabled=false (API 34, canWriteSettings=true)
09-05 11:07:30.302 I/OPENHU  (20623): [2] 1.invoke | WifiDirectManager: requestDeviceInfo success: 02:00:00:00:00:00
09-05 11:07:30.317 I/OPENHU  (20623): [2] AapService.onStartCommand | AapService: ACTION_NATIVE_AA_PROMPT_SHOWN received
09-05 11:07:30.807 I/OPENHU  (20623): [2] WifiDirectManager.createQuietGroup | WifiDirectManager: Attempting createGroup for Native AA (Attempt 0)...
09-05 11:07:30.808 I/OPENHU  (20623): [2] WifiDirectManager.createQuietGroup | WifiDirectManager: this unit's WiFi radio reports a 5 GHz band.
09-05 11:07:30.810 I/OPENHU  (20623): [2] WifiDirectManager.createQuietGroup | WifiDirectManager: Band preference is 5 GHz only, set by the user.
09-05 11:07:30.816 I/OPENHU  (20623): [2] WifiDirectManager.chooseNativeGroupIdentity | WifiDirectManager: group identity: asking for the kept network DIRECT-TX-Navegadortz2 again, so a phone that saved it can rejoin without being set up for a new one.
09-05 11:07:30.819 I/OPENHU  (20623): [2] WifiDirectManager.createQuietGroup | WifiDirectManager: Requesting Native AA P2P group on 5GHz band. Chosen by the user.
09-05 11:07:30.820 I/OPENHU  (20623): [2] WifiDirectManager.createQuietGroup | WifiDirectManager: 5 GHz channel is automatic, so the driver picks within the band.
09-05 11:07:30.856 I/OPENHU  (20623): [2] 1.onSuccess | WifiDirectManager: 5GHz createGroup SUCCESS!
09-05 11:07:30.935 I/OPENHU  (20623): [2] 1.onReceive | WifiDirectManager: Connected. Requesting info...
09-05 11:07:30.945 I/OPENHU  (20623): [2] WifiDirectManager.onConnectionInfoAvailable | WifiDirectManager: Group formed. Owner: true, GO IP: 192.168.49.1
09-05 11:07:30.950 I/OPENHU  (20623): [2] 1.invoke | WifiDirectManager: Updated localDeviceAddress via requestDeviceInfo: 02:00:00:00:00:00
09-05 11:07:30.956 I/OPENHU  (20623): [2] WifiDirectManager.onGroupInfoAvailable | WifiDirectManager: System Location Check: GPS=true, Network=true
09-05 11:07:30.957 I/OPENHU  (20623): [2] WifiDirectManager.logBssidSourceDump | WifiDirectManager: == BSSID source dump (iface=p2p-wlan0-4) ==
09-05 11:07:30.958 I/OPENHU  (20623): [2] WifiDirectManager.logBssidSourceDump$report | WifiDirectManager:   static override (Settings)       = 0
09-05 11:07:30.959 I/OPENHU  (20623): [2] WifiDirectManager.logBssidSourceDump$report | WifiDirectManager:   getGroupOwnerBssid()             = null
