--------- beginning of main
09-05 12:10:34.403 I/OPENHU  (22217): [2] AutomationReceiver.onReceive | AutomationReceiver: com.andrerinas.openheadunit.ACTION_LOG_MARKER
09-05 12:10:34.486 W/OPENHU  (22217): [2] AutomationEffectRunner.run | AutomationMarker: R9-start
09-05 12:10:34.566 I/OPENHU  (22217): [2] AutomationReceiver.onReceive | AutomationReceiver: com.andrerinas.openheadunit.ACTION_START_WIRELESS
09-05 12:10:34.600 I/OPENHU  (22217): [2] AapService.onCreate | AapService creating...
09-05 12:10:34.632 I/OPENHU  (22217): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper: == Bluetooth address source dump ==
09-05 12:10:34.637 I/OPENHU  (22217): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   adapter.address                      = 02:00:00:00:00:00
09-05 12:10:34.638 I/OPENHU  (22217): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   getAddress() reflection              = 02:00:00:00:00:00
09-05 12:10:34.638 I/OPENHU  (22217): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   Settings.Secure bluetooth_address    = null
09-05 12:10:34.639 I/OPENHU  (22217): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   property persist.sys.bt.mac          = null
09-05 12:10:34.639 I/OPENHU  (22217): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   property persist.sys.btmac           = null
09-05 12:10:34.640 I/OPENHU  (22217): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   property persist.vendor.bt.mac       = null
09-05 12:10:34.641 I/OPENHU  (22217): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   property sys.bt.mac                  = null
09-05 12:10:34.641 I/OPENHU  (22217): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   property persist.sys.bluetooth.mac   = null
09-05 12:10:34.642 I/OPENHU  (22217): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   property ro.boot.btmacaddr           = null
09-05 12:10:34.642 I/OPENHU  (22217): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   property vendor.bt.bdaddr            = null
09-05 12:10:34.643 I/OPENHU  (22217): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   property persist.zj.BTmac            = null
09-05 12:10:34.644 I/OPENHU  (22217): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   property persist.zlink.carplay.mac   = null
09-05 12:10:34.644 I/OPENHU  (22217): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   property sys.bt.bdaddr               = null
09-05 12:10:34.645 I/OPENHU  (22217): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper: == end Bluetooth address source dump ==
