09-05 15:36:21.895 I/OPENHU  (10465): [2] AutomationReceiver.onReceive | AutomationReceiver: com.andrerinas.openheadunit.ACTION_LOG_MARKER
09-05 15:36:21.980 W/OPENHU  (10465): [2] AutomationEffectRunner.run | AutomationMarker: R10-launch
09-05 15:36:22.227 I/OPENHU  (10465): [2] MainActivity.logLaunchSource | App launched by third party: android-app://com.android.shell (action: null)
09-05 15:36:22.497 I/OPENHU  (10465): [2] UsbDeviceDiagnostics.logDeviceList | UsbDiagnostics: USB list sees 0 USB device(s), 0 usable for Android Auto
09-05 15:36:22.498 I/OPENHU  (10465): [2] UsbDeviceDiagnostics.logDeviceList | UsbDiagnostics: nothing is on the bus. Either the port carries no data, the unit is not in USB host mode, or a wireless adapter is waiting for its phone before it presents itself.
09-05 15:36:22.726 I/OPENHU  (10465): [2] HomeFragment.onResume | HomeFragment: onResume. isConnected=false
09-05 15:36:22.972 I/OPENHU  (10465): [2] AapService.onCreate | AapService creating...
09-05 15:36:22.997 I/OPENHU  (10465): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper: == Bluetooth address source dump ==
09-05 15:36:23.001 I/OPENHU  (10465): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   adapter.address                      = 02:00:00:00:00:00
09-05 15:36:23.002 I/OPENHU  (10465): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   getAddress() reflection              = 02:00:00:00:00:00
09-05 15:36:23.003 I/OPENHU  (10465): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   Settings.Secure bluetooth_address    = null
09-05 15:36:23.004 I/OPENHU  (10465): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   property persist.sys.bt.mac          = null
09-05 15:36:23.004 I/OPENHU  (10465): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   property persist.sys.btmac           = null
09-05 15:36:23.005 I/OPENHU  (10465): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   property persist.vendor.bt.mac       = null
09-05 15:36:23.006 I/OPENHU  (10465): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   property sys.bt.mac                  = null
09-05 15:36:23.006 I/OPENHU  (10465): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   property persist.sys.bluetooth.mac   = null
09-05 15:36:23.007 I/OPENHU  (10465): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   property ro.boot.btmacaddr           = null
09-05 15:36:23.007 I/OPENHU  (10465): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   property vendor.bt.bdaddr            = null
09-05 15:36:23.008 I/OPENHU  (10465): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   property persist.zj.BTmac            = null
09-05 15:36:23.009 I/OPENHU  (10465): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   property persist.zlink.carplay.mac   = null
09-05 15:36:23.009 I/OPENHU  (10465): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   property sys.bt.bdaddr               = null
09-05 15:36:23.010 I/OPENHU  (10465): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper: == end Bluetooth address source dump ==
09-05 15:36:23.010 W/OPENHU  (10465): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper: no source named this unit's Bluetooth address. Read it under Settings/About/Status, or off the paired phone under the gear beside this device, and enter it under Wireless connection. Without it the phone is not told where to connect hands-free and no setup QR can be drawn.
09-05 15:36:23.039 I/OPENHU  (10465): [2] AapService.registerReceivers | Registered runtime MEDIA_BUTTON receiver
09-05 15:36:23.043 I/OPENHU  (10465): [2] AapService.registerReceivers | Registered dynamic WiFi Auto-start receiver
09-05 15:36:23.046 I/OPENHU  (10465): [2] AapService.registerReceivers | Registered wake detection receiver (18 actions)
09-05 15:36:23.049 I/OPENHU  (10465): [2] AapService.registerReceivers | Registered Bluetooth auto-disconnect receiver
09-05 15:36:23.083 I/OPENHU  (10465): [2] WifiLauncherManager.setActive | WifiLauncher: Initializing WiFi Mode: NATIVE
09-05 15:36:23.097 I/OPENHU  (10465): [2] WifiDirectManager.<init> | WifiDirectManager: Device supports WiFi Direct. Initializing...
09-05 15:36:23.111 I/OPENHU  (10465): [2] WirelessServer.start | WirelessServer: binding port 5288...
09-05 15:36:23.115 I/OPENHU  (10465): [52] 1.invokeSuspend | Wireless Server listening on port 5288
09-05 15:36:23.117 I/OPENHU  (10465): [52] WirelessServer.logLocalNetworkInterfaces | Interface: seth_lte0, IP: 10.14.245.165
09-05 15:36:23.118 I/OPENHU  (10465): [52] WirelessServer.logLocalNetworkInterfaces | Interface: p2p-wlan0-5, IP: 192.168.49.1
09-05 15:36:23.119 I/OPENHU  (10465): [52] WirelessServer.logLocalNetworkInterfaces | Interface: wlan0, IP: 192.168.1.8
09-05 15:36:23.127 I/OPENHU  (10465): [2] WifiDirectManager.claimNativeCreateWindow | WifiDirectManager: a Native AA group create is claimed (bringing the Native AA group up); a refresh in the next 15s waits for it.
09-05 15:36:23.131 I/OPENHU  (10465): [2] WifiDirectManager.startNativeAaQuietHost | WifiDirectManager: startNativeAaQuietHost() requested. Removing old group if any...
09-05 15:36:23.132 I/OPENHU  (10465): [2] WifiDirectManager.claimNativeCreateWindow | WifiDirectManager: a Native AA group create is claimed (recreating the group); a refresh in the next 15s waits for it.
09-05 15:36:23.133 I/OPENHU  (10465): [2] WifiDirectManager.invalidateNativeGroupCredentials | WifiDirectManager: the group is being removed (recreating the group), so its credentials are no longer handed out.
09-05 15:36:23.148 I/OPENHU  (10465): [2] NativeAaHandshakeManager.start | NativeAA: Starting Bluetooth Handshake Servers (primary radio [Navegadortz2])...
09-05 15:36:23.159 I/OPENHU  (10465): [2] NativeAaHandshakeManager.shouldRegisterDummyHfp | NativeAA: radio [Navegadortz2] already advertises Hands-Free, so the stand-in HFP record is not registered - the real stack answers calls, this app cannot.
09-05 15:36:23.161 I/OPENHU  (10465): [53] 1.invokeSuspend | NativeAA: ACTIVELY LISTENING on Android Auto UUID (4de17a00-52cb-11e6-bdf4-0800200c9a66) on radio [Navegadortz2]... Waiting for phone to connect back!
09-05 15:36:23.241 I/OPENHU  (10465): [2] AapService.registerNetworkMonitor | NetworkMonitor: Registered network change listener
09-05 15:36:23.251 I/OPENHU  (10465): [55] 1.onAvailable | NetworkMonitor: Network available: 100
09-05 15:36:23.296 I/OPENHU  (10465): [54] 1.invokeSuspend | WppTcpServer: listening for Android Auto on TCP 5299
09-05 15:36:23.845 I/OPENHU  (10465): [2] 1.onReceive | WifiDirectManager: WIFI_P2P_STATE_CHANGED_ACTION state=2
09-05 15:36:23.847 I/OPENHU  (10465): [2] 1.invoke | WifiDirectManager: requestDeviceInfo success: 02:00:00:00:00:00
09-05 15:36:23.848 I/OPENHU  (10465): [2] 1.invokeSuspend | AapService: Mode requires WiFi Direct — ensuring hotspot is disabled first...
09-05 15:36:23.854 I/OPENHU  (10465): [2] HotspotManager.setHotspotEnabled | HotspotManager: Setting hotspot enabled=false (API 34, canWriteSettings=true)
09-05 15:36:23.892 I/OPENHU  (10465): [2] AapService.onStartCommand | AapService: ACTION_NATIVE_AA_PROMPT_SHOWN received
09-05 15:36:24.369 I/OPENHU  (10465): [2] WifiDirectManager.createQuietGroup | WifiDirectManager: Attempting createGroup for Native AA (Attempt 0)...
09-05 15:36:24.370 I/OPENHU  (10465): [2] WifiDirectManager.createQuietGroup | WifiDirectManager: this unit's WiFi radio reports a 5 GHz band.
09-05 15:36:24.372 I/OPENHU  (10465): [2] WifiDirectManager.createQuietGroup | WifiDirectManager: Band preference is 5 GHz only, set by the user.
09-05 15:36:24.377 I/OPENHU  (10465): [2] WifiDirectManager.chooseNativeGroupIdentity | WifiDirectManager: group identity: asking for the kept network DIRECT-TX-Navegadortz2 again, so a phone that saved it can rejoin without being set up for a new one.
09-05 15:36:24.380 I/OPENHU  (10465): [2] WifiDirectManager.createQuietGroup | WifiDirectManager: Requesting Native AA P2P group on 5GHz band. Chosen by the user.
09-05 15:36:24.381 I/OPENHU  (10465): [2] WifiDirectManager.createQuietGroup | WifiDirectManager: 5 GHz channel is automatic, so the driver picks within the band.
09-05 15:36:24.429 I/OPENHU  (10465): [2] 1.onSuccess | WifiDirectManager: 5GHz createGroup SUCCESS!
09-05 15:36:24.506 I/OPENHU  (10465): [2] 1.onReceive | WifiDirectManager: Connected. Requesting info...
09-05 15:36:24.515 I/OPENHU  (10465): [2] WifiDirectManager.onConnectionInfoAvailable | WifiDirectManager: Group formed. Owner: true, GO IP: 192.168.49.1
09-05 15:36:24.521 I/OPENHU  (10465): [2] 1.invoke | WifiDirectManager: Updated localDeviceAddress via requestDeviceInfo: 02:00:00:00:00:00
09-05 15:36:24.528 I/OPENHU  (10465): [2] WifiDirectManager.onGroupInfoAvailable | WifiDirectManager: System Location Check: GPS=true, Network=true
09-05 15:36:24.530 I/OPENHU  (10465): [2] WifiDirectManager.logBssidSourceDump | WifiDirectManager: == BSSID source dump (iface=p2p-wlan0-6) ==
09-05 15:36:24.531 I/OPENHU  (10465): [2] WifiDirectManager.logBssidSourceDump$report | WifiDirectManager:   static override (Settings)       = 0
09-05 15:36:24.532 I/OPENHU  (10465): [2] WifiDirectManager.logBssidSourceDump$report | WifiDirectManager:   getGroupOwnerBssid()             = null
09-05 15:36:24.547 I/OPENHU  (10465): [2] WifiDirectManager.logBssidSourceDump$report | WifiDirectManager:   IPv6 link-local (p2p-wlan0-6)    = a2:48:63:83:a6:c6
09-05 15:36:24.553 I/OPENHU  (10465): [2] WifiDirectManager.logBssidSourceDump$report | WifiDirectManager:   IPv6 link-local (any p2p/ap)     = a2:48:63:83:a6:c6
09-05 15:36:24.567 W/OPENHU  (10465): [2] WifiDirectManager.getWifiDirectMac | WifiDirectManager: No valid MAC found in NetworkInterface scan for p2p-wlan0-6
09-05 15:36:24.567 I/OPENHU  (10465): [2] WifiDirectManager.logBssidSourceDump$report | WifiDirectManager:   NetworkInterface.hardwareAddress = 00:00:00:00:00:00
09-05 15:36:24.568 I/OPENHU  (10465): [2] WifiDirectManager.logBssidSourceDump$report | WifiDirectManager:   lastKnownBssid (null)            = null
09-05 15:36:24.569 I/OPENHU  (10465): [2] WifiDirectManager.logBssidSourceDump$report | WifiDirectManager:   requestDeviceInfo                = 02:00:00:00:00:00
09-05 15:36:24.570 I/OPENHU  (10465): [2] WifiDirectManager.logBssidSourceDump$report | WifiDirectManager:   group.owner.deviceAddress        = 02:00:00:00:00:00
09-05 15:36:24.574 I/OPENHU  (10465): [2] WifiDirectManager.getMacFromShell | WifiDirectManager: MAC retrieved via sysfs (p2p-wlan0-6): a2:48:63:83:a6:c6
09-05 15:36:24.575 I/OPENHU  (10465): [2] WifiDirectManager.logBssidSourceDump$report | WifiDirectManager:   sysfs / ip link                  = a2:48:63:83:a6:c6
09-05 15:36:24.579 I/OPENHU  (10465): [2] WifiDirectManager.logBssidSourceDump$report | WifiDirectManager:   Settings.Secure p2p address      = null
09-05 15:36:24.581 I/OPENHU  (10465): [2] WifiDirectManager.logBssidSourceDump$report | WifiDirectManager:   reflection over WifiP2pGroup     = null
09-05 15:36:24.581 I/OPENHU  (10465): [2] WifiDirectManager.logBssidSourceDump | WifiDirectManager: == end BSSID source dump ==
09-05 15:36:24.587 I/OPENHU  (10465): [2] WifiDirectManager.onGroupInfoAvailable | WifiDirectManager: BSSID read from the IPv6 link-local address of p2p-wlan0-6 (EUI-64): A2:48:63:83:A6:C6
09-05 15:36:24.588 I/OPENHU  (10465): [2] WifiDirectManager.onGroupInfoAvailable | WifiDirectManager: Initial BSSID from IPv6 link-local: A2:48:63:83:A6:C6
09-05 15:36:24.590 I/OPENHU  (10465): [2] WifiDirectManager.onGroupInfoAvailable | WifiDirectManager: onGroupInfoAvailable: SSID: DIRECT-TX-Navegadortz2, BSSID: A2:48:63:83:A6:C6 (source=IPv6 link-local), GO: true, IFACE: p2p-wlan0-6, Freq: 5240 MHz (5GHz)
09-05 15:36:24.593 I/OPENHU  (10465): [2] WifiDirectManager.onGroupInfoAvailable | WifiDirectManager: group identity ssid=DIRECT-TX-Navegadortz2 persistent=yes (netId 19) asked=persistent matchesRequest=yes bssid=A2:48:63:83:A6:C6 stable=no (same name but the BSSID moved from D2:5E:CB:C2:EE:F0 to A2:48:63:83:A6:C6; this unit re-addresses the group on every create) source=IPv6 link-local
